stem,image_file,label_file,relative_image_path,relative_label_path,split,scene,weather,scene_weather,capture_pair,sequence_index,step,raw_or_augmented,frame_key,grouping_strategy,grouping_key_used,object_count,image_width,image_height,image_mode,median_box_width_px,median_box_height_px,median_box_area_px,mean_relative_area,objects_lt_32px
augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.2_step0.camera,augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.2_step0.camera.png,augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.2_step0.camera.txt,data/obj_det_base/augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.2_step0.camera.png,data/obj_det_base/augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.2_step0.camera.txt,test,city,foggy,city_foggy,12_13,2,0,augmented,city_foggy__capture_12_13__sequence_2__step_0,capture_pair holdout,12_13,2,2560,1440,RGB,33.50016,36.49968,1186.4978399232,0.000321858138,1
augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.15_step0.camera,augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.15_step0.camera.png,augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.15_step0.camera.txt,data/obj_det_base/augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.15_step0.camera.png,data/obj_det_base/augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.15_step0.camera.txt,test,city,foggy,city_foggy,12_13,15,0,augmented,city_foggy__capture_12_13__sequence_15__step_0,capture_pair holdout,12_13,2,2560,1440,RGB,37.50016,41.0004,1512.5229600768,0.000410298112,1
raw_dataset_city_foggy_city_foggy_12_13_sequence.55_step0.camera,raw_dataset_city_foggy_city_foggy_12_13_sequence.55_step0.camera.png,raw_dataset_city_foggy_city_foggy_12_13_sequence.55_step0.camera.txt,data/obj_det_base/raw_dataset_city_foggy_city_foggy_12_13_sequence.55_step0.camera.png,data/obj_det_base/raw_dataset_city_foggy_city_foggy_12_13_sequence.55_step0.camera.txt,test,city,foggy,city_foggy,12_13,55,0,raw,city_foggy__capture_12_13__sequence_55__step_0,capture_pair holdout,12_13,2,2560,1440,RGBA,32.0,36.0,1152.0,0.0003125,1
augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.73_step0.camera,augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.73_step0.camera.png,augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.73_step0.camera.txt,data/obj_det_base/augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.73_step0.camera.png,data/obj_det_base/augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.73_step0.camera.txt,test,city,foggy,city_foggy,12_13,73,0,augmented,city_foggy__capture_12_13__sequence_73__step_0,capture_pair holdout,12_13,2,2560,1440,RGB,30.99904,25.49952,686.4580804608,0.000186213672,2
raw_dataset_city_foggy_city_foggy_12_13_sequence.98_step0.camera,raw_dataset_city_foggy_city_foggy_12_13_sequence.98_step0.camera.png,raw_dataset_city_foggy_city_foggy_12_13_sequence.98_step0.camera.txt,data/obj_det_base/raw_dataset_city_foggy_city_foggy_12_13_sequence.98_step0.camera.png,data/obj_det_base/raw_dataset_city_foggy_city_foggy_12_13_sequence.98_step0.camera.txt,test,city,foggy,city_foggy,12_13,98,0,raw,city_foggy__capture_12_13__sequence_98__step_0,capture_pair holdout,12_13,2,2560,1440,RGBA,48.0,22.99968,1065.9809599488,0.000289165842,2
augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.116_step0.camera,augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.116_step0.camera.png,augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.116_step0.camera.txt,data/obj_det_base/augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.116_step0.camera.png,data/obj_det_base/augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.116_step0.camera.txt,test,city,foggy,city_foggy,12_13,116,0,augmented,city_foggy__capture_12_13__sequence_116__step_0,capture_pair holdout,12_13,2,2560,1440,RGB,66.49984,33.49944,2378.9640001536,0.0006453352865000001,1
augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.117_step0.camera,augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.117_step0.camera.png,augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.117_step0.camera.txt,data/obj_det_base/augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.117_step0.camera.png,data/obj_det_base/augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.117_step0.camera.txt,test,city,foggy,city_foggy,12_13,117,0,augmented,city_foggy__capture_12_13__sequence_117__step_0,capture_pair holdout,12_13,2,2560,1440,RGB,68.0,36.0,2604.0163203071997,0.0007063846355,1
augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.123_step0.camera,augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.123_step0.camera.png,augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.123_step0.camera.txt,data/obj_det_base/augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.123_step0.camera.png,data/obj_det_base/augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.123_step0.camera.txt,test,city,foggy,city_foggy,12_13,123,0,augmented,city_foggy__capture_12_13__sequence_123__step_0,capture_pair holdout,12_13,2,2560,1440,RGB,72.99968,47.49983999999999,3870.487200153599,0.0010499368489999999,1
augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.128_step0.camera,augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.128_step0.camera.png,augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.128_step0.camera.txt,data/obj_det_base/augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.128_step0.camera.png,data/obj_det_base/augmented_raw_dataset_city_foggy_city_foggy_12_13_sequence.128_step0.camera.txt,test,city,foggy,city_foggy,12_13,128,0,augmented,city_foggy__capture_12_13__sequence_128__step_0,capture_pair holdout,12_13,2,2560,1440,RGB,75.49952,58.99968,5015.4592002048,0.0013605303820000002,0
raw_dataset_city_foggy_city_foggy_12_13_sequence.130_step0.camera,raw_dataset_city_foggy_city_foggy_12_13_sequence.130_step0.camera.png,raw_dataset_city_foggy_city_foggy_12_13_sequence.130_step0.camera.txt,data/obj_det_base/raw_dataset_city_foggy_city_foggy_12_13_sequence.130_step0.camera.png,data/obj_det_base/raw_dataset_city_foggy_city_foggy_12_13_sequence.130_step0.camera.txt,test,city,foggy,city_foggy,12_13,130,0,raw,city_foggy__capture_12_13__sequence_130__step_0,capture_pair holdout,12_13,2,2560,1440,RGBA,78.00063999999999,63.0,5535.039039897599,0.001501475434,0
