threshold,precision,recall,f1,true_positives,false_positives,false_negatives,predictions,predictions_per_image
0.999,0.9611231101511879,0.9081632653061225,0.9338929695697796,445.0,18.0,45.0,463.0,1.889795918367347
0.99905,0.9631236442516269,0.9061224489795918,0.9337539432176656,444.0,17.0,46.0,461.0,1.8816326530612244
0.9991,0.962800875273523,0.8979591836734694,0.9292502639915522,440.0,17.0,50.0,457.0,1.8653061224489795
0.99915,0.962800875273523,0.8979591836734694,0.9292502639915522,440.0,17.0,50.0,457.0,1.8653061224489795
0.9992,0.9627192982456141,0.8959183673469387,0.9281183932346723,439.0,17.0,51.0,456.0,1.8612244897959183
0.99925,0.9626373626373627,0.8938775510204081,0.926984126984127,438.0,17.0,52.0,455.0,1.8571428571428572
0.9993,0.9623893805309734,0.8877551020408163,0.9235668789808916,435.0,17.0,55.0,452.0,1.8448979591836734
0.99935,0.9622222222222222,0.8836734693877552,0.9212765957446809,433.0,17.0,57.0,450.0,1.836734693877551
0.9994,0.9642058165548099,0.8795918367346939,0.919957310565635,431.0,16.0,59.0,447.0,1.8244897959183672
0.99945,0.9660633484162896,0.8714285714285714,0.9163090128755365,427.0,15.0,63.0,442.0,1.8040816326530613
0.9995,0.9676674364896074,0.8551020408163266,0.9079089924160346,419.0,14.0,71.0,433.0,1.7673469387755103
0.99955,0.969626168224299,0.8469387755102041,0.9041394335511983,415.0,13.0,75.0,428.0,1.7469387755102042
0.9996,0.9693396226415094,0.8387755102040816,0.899343544857768,411.0,13.0,79.0,424.0,1.7306122448979593
0.99965,0.972972972972973,0.8081632653061225,0.882943143812709,396.0,11.0,94.0,407.0,1.6612244897959183
0.9997,0.9769230769230769,0.7775510204081633,0.865909090909091,381.0,9.0,109.0,390.0,1.5918367346938775
0.99975,0.9806629834254144,0.7244897959183674,0.8333333333333334,355.0,7.0,135.0,362.0,1.4775510204081632
0.9998,0.9788519637462235,0.6612244897959184,0.7892813641900122,324.0,7.0,166.0,331.0,1.3510204081632653
0.99985,0.9781818181818182,0.5489795918367347,0.7032679738562092,269.0,6.0,221.0,275.0,1.1224489795918366
0.9999,0.981042654028436,0.42244897959183675,0.5905848787446506,207.0,4.0,283.0,211.0,0.8612244897959184
0.99995,0.9900990099009901,0.20408163265306123,0.338409475465313,100.0,1.0,390.0,101.0,0.4122448979591837
